symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHSE.000985,1d,4148.614,4163.862,4082.06,4086.127,46695877086,421958293755.0,4144.815,0,2019-06-14 00:00:00+08:00,2019-06-14 00:00:00+08:00
SHSE.000852,1d,5168.35,5192.125,5140.265,5160.672,9576465664,82380619776.0,5173.068,0,2019-06-17 00:00:00+08:00,2019-06-17 00:00:00+08:00
SHSE.000300,1d,3654.443,3683.774,3645.498,3654.824,7297667840,93092581376.0,3654.879,0,2019-06-17 00:00:00+08:00,2019-06-17 00:00:00+08:00
SZSE.399303,1d,5836.265,5868.794,5813.186,5839.929,13563848704,118512439296.0,5840.435,0,2019-06-17 00:00:00+08:00,2019-06-17 00:00:00+08:00
SHSE.000985,1d,4084.704,4113.172,4073.531,4086.035,33629199103,321928276241.0,4086.127,0,2019-06-17 00:00:00+08:00,2019-06-17 00:00:00+08:00
SHSE.000905,1d,4796.12,4826.595,4779.642,4802.818,7336113920,64090002432.0,4795.526,0,2019-06-17 00:00:00+08:00,2019-06-17 00:00:00+08:00
SHSE.000852,1d,5160.112,5183.019,5125.096,5160.878,9200804608,79910506496.0,5160.672,0,2019-06-18 00:00:00+08:00,2019-06-18 00:00:00+08:00
SHSE.000985,1d,4090.289,4106.376,4064.048,4091.93,32069616743,306329527638.0,4086.035,0,2019-06-18 00:00:00+08:00,2019-06-18 00:00:00+08:00
SHSE.000300,1d,3661.129,3675.645,3638.78,3667.618,7069226496,89472839680.0,3654.824,0,2019-06-18 00:00:00+08:00,2019-06-18 00:00:00+08:00
SHSE.000905,1d,4804.301,4825.625,4773.549,4797.146,6652389632,56694905856.0,4802.818,0,2019-06-18 00:00:00+08:00,2019-06-18 00:00:00+08:00
SZSE.399303,1d,5843.097,5864.313,5802.486,5834.124,13337241856,116740780032.0,5839.929,0,2019-06-18 00:00:00+08:00,2019-06-18 00:00:00+08:00
SHSE.000852,1d,5268.935,5292.278,5231.965,5234.275,13087875840,115348656128.0,5160.878,0,2019-06-19 00:00:00+08:00,2019-06-19 00:00:00+08:00
SHSE.000905,1d,4902.959,4931.109,4856.903,4858.916,9827437568,88246816768.0,4797.146,0,2019-06-19 00:00:00+08:00,2019-06-19 00:00:00+08:00
SHSE.000300,1d,3761.338,3771.347,3715.133,3715.938,12559571456,172574179328.0,3667.618,0,2019-06-19 00:00:00+08:00,2019-06-19 00:00:00+08:00
SHSE.000985,1d,4187.32,4202.679,4145.596,4146.928,47577725598,484203839809.0,4091.93,0,2019-06-19 00:00:00+08:00,2019-06-19 00:00:00+08:00
SZSE.399303,1d,5947.443,5974.565,5914.859,5918.587,18130887168,160363499520.0,5834.124,0,2019-06-19 00:00:00+08:00,2019-06-19 00:00:00+08:00
SHSE.000905,1d,4853.208,4987.595,4837.176,4954.733,11969596160,102804340736.0,4858.916,0,2019-06-20 00:00:00+08:00,2019-06-20 00:00:00+08:00
SHSE.000985,1d,4146.128,4262.003,4139.807,4246.828,57714557726,580785870053.0,4146.928,0,2019-06-20 00:00:00+08:00,2019-06-20 00:00:00+08:00
SHSE.000852,1d,5228.491,5329.969,5199.869,5317.31,14803715328,127095611392.0,5234.275,0,2019-06-20 00:00:00+08:00,2019-06-20 00:00:00+08:00
SHSE.000300,1d,3718.941,3845.791,3717.185,3828.518,16887207424,227726983168.0,3715.938,0,2019-06-20 00:00:00+08:00,2019-06-20 00:00:00+08:00
SZSE.399303,1d,5908.977,6012.98,5873.828,6004.693,20441164800,177591255040.0,5918.587,0,2019-06-20 00:00:00+08:00,2019-06-20 00:00:00+08:00
SZSE.399303,1d,6046.644,6126.73,6046.525,6108.138,23073130240,204164452352.0,6004.693,0,2019-06-21 00:00:00+08:00,2019-06-21 00:00:00+08:00
SHSE.000905,1d,4973.585,5045.714,4973.585,5021.305,12281421312,106832740352.0,4954.733,0,2019-06-21 00:00:00+08:00,2019-06-21 00:00:00+08:00
SHSE.000985,1d,4261.791,4296.568,4259.599,4282.068,60529987098,597280070852.0,4246.828,0,2019-06-21 00:00:00+08:00,2019-06-21 00:00:00+08:00
SHSE.000300,1d,3832.732,3856.085,3817.306,3833.938,15363515392,199961616384.0,3828.518,0,2019-06-21 00:00:00+08:00,2019-06-21 00:00:00+08:00
